Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911319 24-26 Cathodic Protection Program,911319 Programme de protection cathodique 24-26," 1,800 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911320 24-26 Water Distribution System Improv.,911320 Améliorations du réseau d’alimentation en eau 24-26, 250 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911321 24-26 Ops Condition Assess Critical Link,911321 Évaluation de l’état des conduites essentielles du réseau 24-26," 3,200 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,911595 Water Facilities Remotes Roofing,911595 Toiture des installations périphériques de gestion de l'eau, 60 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Integrated Water & Wastewater,Aqueduc et égouts intégrés,911285 24-26 Hydraulic Structures,911285 Structures hydrauliques 24-26," 1,500 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Integrated Water & Wastewater,Aqueduc et égouts intégrés,911286 24-26 Sewer Repairs / Improvements,911286 Réparation et amélioration des égouts 24-26," 9,700 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Integrated Water & Wastewater,Aqueduc et égouts intégrés,911287 24-26 Sewer Trenchless Rehab,911287 Réfection des conduites d’égout sans tranchée 24-26," 5,500 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Integrated Water & Wastewater,Aqueduc et égouts intégrés,"911362 Tech Roadmap, Data Strategy & Decision","911362 Feuille de route technique, stratégie de données et prise de décision", 250 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Integrated Water & Wastewater,Aqueduc et égouts intégrés,911363 24-26 Technology Need and Mobility Proj,911363 Projet de mobilité et de besoins technologiques 24-26, 500 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,907720 Cranberry Creek Municipal Drain,907720 Drain municipal Cranberry Creek, 150 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,908252 Stormwater Mgmt Retrofit Master Plan,908252 Plan directeur de modernisation du système de gestion des eaux pluviales, 153 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909001 Hobbs Municipal Drain,909001 Drain municipal Hobbs, 150 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909002 Tompkins Diversion Municipal Drain,909002 Drain municipal Tompkins Diversion, 100 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909216 Cassidy Municipal Drain,909216 Drain municipal Cassidy , 250 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909305 Buckles Municipal Drain,909305 Drain municipal Buckles, 900 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909356 Stormwater Management Retrofit,909356 Modernisation de la gestion des eaux pluviales, 100 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909626 KNL Municipal Drain,909626 Drain Municipal KNL, 150 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,909730 2020 Stormwater Master Planning,909730 Planification de base 2020 - Eaux pluviales, 102 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911151 Quaile Municipal Drain,911151 Drain municipal de Quaile, 150 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911169 24-26 New Vehicles Stormwater,911169 24-26 Nouveaux véhicules Eaux pluviales, 85 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911198 24-26 Flood Plain Mapping,911198 Cartographie des plaines inondables 24-26, 434 ,Capital, No  ,Non,0, Yes - Major Contribution ,Oui - Contribution majeure,1,,Renewal of City Assets,Renouvellement des immobilisations
Infrastructure & Water Services Department, Département des services d’infrastructure et d’eau ,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,Services des eaux pluviales,911294 24-26 Drainage Culverts - CW,911294 Ponceaux de drainage – ensemble du territoire de la Ville 24-26," 15,524 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
