Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Petrie - Vehicle (30 min),Île Pétrie – véhicule (30 min),,,1,1,1.25,1.25,25.00%,25.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Petrie - Vehicle (30 min)","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Île Pétrie – véhicule (30 min)"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Public Skating,Patinage public,,,1.99-7.74,1.99-7.74,1.99-7.96,1.99-7.96,0.0% - 7.6%,0.0% - 7.6%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Public Skating","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Patinage public"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Public Skating - Specialty,Patinage public – spécialisé,,,2.88-6.64,2.88-6.64,3.10-6.86,3.10-6.86,3.3% - 7.6%,3.3% - 7.6%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Public Skating - Specialty","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Patinage public – spécialisé"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Public Swim,Bain libre,,,2.48-6.02,2.48-6.02,2.55-6.20,2.55-6.20,2.8% - 3.0%,2.8% - 3.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Public Swim","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Bain libre"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Public Swim - Vitality,Bain public – vitalité,,,4.51-6.47,4.51-6.47,4.64-6.66,4.64-6.66,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Public Swim - Vitality","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Bain public – vitalité"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Public Swim - Wave,Bain public – vagues,,,5.87-9.26,5.87-9.26,6.04-9.53,6.04-9.53,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Public Swim - Wave","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Bain public – vagues"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Rentals -  Beach Equipment,Équipement de plage,,,2.14-55.75,2.14-55.75,2.14-57.52,2.14-57.52,0.0% - 5.0%,0.0% - 5.0%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Rentals -  Beach Equipment","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Équipement de plage"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Rentals -  Hall,Pavillon,,,3.43-269.88,3.43-269.88,3.53-277.84,3.53-277.84,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Rentals -  Hall","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Pavillon"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Rentals -  Hall-Commercial,Pavillon – entreprises,,,19.31-190.96,19.31-190.96,19.88-196.59,19.88-196.59,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Rentals -  Hall-Commercial","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Pavillon – entreprises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",Rentals -  Hall-NFP,Pavillon – organismes sans but lucratif,,,3.74-85.81,3.74-85.81,3.85-88.34,3.85-88.34,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Complexes, Aquatics and Specialized Services Rentals -  Hall-NFP","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Complexes récréatifs, Activités aquatiques et Services spécialisés Pavillon – organismes sans but lucratif"
